clave_materia,materia,semestre,administracion,contaduría,informática
517,COMUNICACIÓN DIGITAL Y MEDIOS SOCIALES,7,1,,1
529,PREVENCIÓN DE LAVADO DE DINERO,8,,1,
543,DEFENSA FISCAL,8,,1,
544,INVERSIÓN EN INSTRUMENTOS DE DEUDA,7,,1,
55,ACCESO A LA INFORMACION PUBLICA GUBERNAMENTAL,3,,1,
553,HACKEO ÉTICO,8,,,1
561,COMPETENCIAS Y GESTIÓN DEL CAPITAL HUMANO,7,,,1
59,FINANZAS PUBLICAS,6,,1,
66,DESARROLLO DEL POTENCIAL CREATIVO,3,,1,
66,DESARROLLO DEL POTENCIAL CREATIVO,4,,,1
66,DESARROLLO DEL POTENCIAL CREATIVO,5,1,,
69,RESPONSABILIDAD SOCIAL EMPRESARIAL,8,1,,
73,ACOSO MORAL LABORAL / MOBBING,4,1,,
87,ADMINISTRACION DE EMPRESAS FAMILIARES,8,1,,
900,CREACIÓN DE ORGANIZACIONES II,8,1,,
92,APLICACIONES MATEMATICAS CONTABLES Y ADMINISTRATIVAS EN EXCEL,6,,1,
95,COMERCIO ELECTRONICO,7,1,,
97,DESARROLLO DE HABILIDADES GERENCIALES,6,1,,
